PIAAC_QuestionId;PIAAC_QuestionDescription;ESCOskill
F_Q02b;instructing training or teaching people individually or in groups?;coach young people
F_Q02b;instructing training or teaching people individually or in groups?;coach youngsters
F_Q02b;instructing training or teaching people individually or in groups?;educate others
F_Q02b;instructing training or teaching people individually or in groups?;educate young people
F_Q02b;instructing training or teaching people individually or in groups?;facilitate young peoples education
F_Q02b;instructing training or teaching people individually or in groups?;facilitate young peoples mentoring
F_Q02b;instructing training or teaching people individually or in groups?;instruct colleagues
F_Q02b;instructing training or teaching people individually or in groups?;instruct others
F_Q02b;instructing training or teaching people individually or in groups?;instruct young people
F_Q02b;instructing training or teaching people individually or in groups?;instructing others
F_Q02b;instructing training or teaching people individually or in groups?;teach others
F_Q02b;instructing training or teaching people individually or in groups?;teach young people
F_Q02b;instructing training or teaching people individually or in groups?;train others
F_Q02b;instructing training or teaching people individually or in groups?;train young people
F_Q02b;instructing training or teaching people individually or in groups?;train youngsters
F_Q02b;instructing training or teaching people individually or in groups?;tutoring
F_Q02d;selling a product or selling a service?;accept payment for services
F_Q02d;selling a product or selling a service?;build customer rapport
F_Q02d;selling a product or selling a service?;collect money in exchange for services
F_Q02d;selling a product or selling a service?;create customer rapport
F_Q02d;selling a product or selling a service?;customer care
F_Q02d;selling a product or selling a service?;customer satisfaction
F_Q02d;selling a product or selling a service?;customer service
F_Q02d;selling a product or selling a service?;customer services
F_Q02d;selling a product or selling a service?;customer servicing
F_Q02d;selling a product or selling a service?;customer support
F_Q02d;selling a product or selling a service?;customer well being
F_Q02d;selling a product or selling a service?;establish a customer rapport
F_Q02d;selling a product or selling a service?;establish customer rapport
F_Q02d;selling a product or selling a service?;establishing a customer rapport
F_Q02d;selling a product or selling a service?;establishing customer rapport
F_Q02d;selling a product or selling a service?;institute customer rapport
F_Q02d;selling a product or selling a service?;offer customer services to fitness clients
F_Q02d;selling a product or selling a service?;promote and sell a product
F_Q02d;selling a product or selling a service?;provide customer fitness service
F_Q02d;selling a product or selling a service?;provide fitness customer care
F_Q02d;selling a product or selling a service?;provide fitness customer service
F_Q02d;selling a product or selling a service?;providing fitness customer service
F_Q02d;selling a product or selling a service?;sell a product
F_Q02d;selling a product or selling a service?;sell objects
F_Q02d;selling a product or selling a service?;sell products
F_Q02d;selling a product or selling a service?;sell services
F_Q02d;selling a product or selling a service?;selling products
F_Q02d;selling a product or selling a service?;selling services
F_Q02d;selling a product or selling a service?;start customer rapport
F_Q02d;selling a product or selling a service?;take opportunities to up-sell
F_Q02d;selling a product or selling a service?;take opportunities to upsell
F_Q02d;selling a product or selling a service?;upsell
F_Q02d;selling a product or selling a service?;upsell drinks and accompaniments
F_Q02d;selling a product or selling a service?;upsell of products
F_Q02d;selling a product or selling a service?;upsell products
F_Q02d;selling a product or selling a service?;upsell services
F_Q02d;selling a product or selling a service?;upselling of products
F_Q04a;persuading or influencing people?;convince others
F_Q04a;persuading or influencing people?;empower others
F_Q04a;persuading or influencing people?;encourage others
F_Q04a;persuading or influencing people?;energise others
F_Q04a;persuading or influencing people?;inspire others
F_Q04a;persuading or influencing people?;motivate others
F_Q04a;persuading or influencing people?;motivate staff and colleages
F_Q04a;persuading or influencing people?;motivating others
F_Q04a;persuading or influencing people?;persuade
F_Q04a;persuading or influencing people?;persuade others
F_Q04a;persuading or influencing people?;persuading others
F_Q04a;persuading or influencing people?;sway others
