Isco_Level_2,Isco_Level_2_preferredLabel,PIAAC_QuestionId,PIAAC_QuestionDescription,ESCOskill
11,"chief executives, senior officials and legislators",F_Q02b,instructing training or teaching people individually or in groups?,coach young people
11,"chief executives, senior officials and legislators",F_Q02b,instructing training or teaching people individually or in groups?,coach youngsters
11,"chief executives, senior officials and legislators",F_Q02b,instructing training or teaching people individually or in groups?,educate others
11,"chief executives, senior officials and legislators",F_Q02b,instructing training or teaching people individually or in groups?,educate young people
11,"chief executives, senior officials and legislators",F_Q02b,instructing training or teaching people individually or in groups?,facilitate young peoples education
11,"chief executives, senior officials and legislators",F_Q02b,instructing training or teaching people individually or in groups?,facilitate young peoples mentoring
11,"chief executives, senior officials and legislators",F_Q02b,instructing training or teaching people individually or in groups?,instruct colleagues
11,"chief executives, senior officials and legislators",F_Q02b,instructing training or teaching people individually or in groups?,instruct others
11,"chief executives, senior officials and legislators",F_Q02b,instructing training or teaching people individually or in groups?,instruct young people
11,"chief executives, senior officials and legislators",F_Q02b,instructing training or teaching people individually or in groups?,instructing others
11,"chief executives, senior officials and legislators",F_Q02b,instructing training or teaching people individually or in groups?,teach others
11,"chief executives, senior officials and legislators",F_Q02b,instructing training or teaching people individually or in groups?,teach young people
11,"chief executives, senior officials and legislators",F_Q02b,instructing training or teaching people individually or in groups?,train others
11,"chief executives, senior officials and legislators",F_Q02b,instructing training or teaching people individually or in groups?,train young people
11,"chief executives, senior officials and legislators",F_Q02b,instructing training or teaching people individually or in groups?,train youngsters
11,"chief executives, senior officials and legislators",F_Q02b,instructing training or teaching people individually or in groups?,tutoring
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,accept payment for services
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,build customer rapport
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,collect money in exchange for services
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,create customer rapport
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,customer care
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,customer satisfaction
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,customer service
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,customer services
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,customer servicing
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,customer support
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,customer well being
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,establish a customer rapport
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,establish customer rapport
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,establishing a customer rapport
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,establishing customer rapport
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,institute customer rapport
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,offer customer services to fitness clients
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,promote and sell a product
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,provide customer fitness service
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,provide fitness customer care
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,provide fitness customer service
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,providing fitness customer service
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,sell a product
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,sell objects
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,sell products
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,sell services
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,selling products
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,selling services
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,start customer rapport
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,take opportunities to up-sell
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,take opportunities to upsell
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,upsell
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,upsell drinks and accompaniments
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,upsell of products
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,upsell products
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,upsell services
11,"chief executives, senior officials and legislators",F_Q02d,selling a product or selling a service?,upselling of products
11,"chief executives, senior officials and legislators",F_Q04a,persuading or influencing people?,convince others
11,"chief executives, senior officials and legislators",F_Q04a,persuading or influencing people?,empower others
11,"chief executives, senior officials and legislators",F_Q04a,persuading or influencing people?,encourage others
11,"chief executives, senior officials and legislators",F_Q04a,persuading or influencing people?,energise others
11,"chief executives, senior officials and legislators",F_Q04a,persuading or influencing people?,inspire others
11,"chief executives, senior officials and legislators",F_Q04a,persuading or influencing people?,motivate others
11,"chief executives, senior officials and legislators",F_Q04a,persuading or influencing people?,motivate staff and colleages
11,"chief executives, senior officials and legislators",F_Q04a,persuading or influencing people?,motivating others
11,"chief executives, senior officials and legislators",F_Q04a,persuading or influencing people?,persuade
11,"chief executives, senior officials and legislators",F_Q04a,persuading or influencing people?,persuade others
11,"chief executives, senior officials and legislators",F_Q04a,persuading or influencing people?,persuading others
11,"chief executives, senior officials and legislators",F_Q04a,persuading or influencing people?,sway others
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",analytical thinking
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",anticipate needs
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",apply conceptual thinking
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",apply conceptual-thinking
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",apply strategic thinking
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",apply strategic thinking techniques
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",apply techniques for strategic thinking
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",brainstorming
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",creative thinking
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",design
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",experiment
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",find new ideas
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",identify key issues in complex situations
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",implement conceptual thinking
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",innovate
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",innovative thinking
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",move strategically
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",proactive thinking
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",proactive thought
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",seek out questions
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",show originality
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",strategic thinking and it's implementation
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",think actively
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",think ahead
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",think analytically
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",think creatively
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",think in a creative way
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",think in an analytical way
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",think laterally
11,"chief executives, senior officials and legislators",F_Q05a,"The next question is about ""problem solving"" tasks you do in your job. Think of ""problem solving"" as what happens when you are faced with a new or difficult situation which requires you to think for a while about what to do next. How often are you usually faced by relatively simple problems that take no more than 5 minutes to find a good solution?",think logically
